2023-03-04T18-20-55: LogOut_File: : logfile started
2023-03-04T18-20-55: Net Status: low-level initialize success.
2023-03-04T18-20-55: Note: this version (1/29/2017) has new data fields added
2023-03-04T18-20-55: time = time since start of game in ms.
2023-03-04T18-20-55: address = address of IP address
2023-03-04T18-20-55: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2023-03-04T18-20-55: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2023-03-04T18-20-55: app_ctos = client to server bytes delta excluding overheads (app data only)
2023-03-04T18-20-55: app_stoc = server to client bytes delta excluding overheads (app data only)
2023-03-04T18-20-55: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2023-03-04T18-20-55: sent = number of packets sent. Spikes can indicate lag.
2023-03-04T18-20-55: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2023-03-04T18-20-55: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2023-03-04T18-20-55: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2023-03-04T18-20-55: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2023-03-04T18-20-55: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2023-03-04T18-20-55: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2023-03-04T18-20-55: Latency in Window = The average Latency in ms. of Reliable packets during this time slice
2023-03-04T18-20-55: Packet Loss percentage in Window = The packet loss percentage of Reliable packets during this time slice
2023-03-04T18-20-55: Jitter in Window = The average Jitter in ms. of Reliable packets during this time slice
2023-03-04T18-20-55: Overall Latency Min = The lowest Latency seen in ms. of Reliable packets up to this point in time
2023-03-04T18-20-55: Overall Latency Max = The largest Latency seen in ms. of Reliable packets up to this point in time
2023-03-04T18-20-55: Latency Min in Window = The lowest Latency seen in ms. of Reliable packets during this time slice
2023-03-04T18-20-55: Latency Max in Window = The largest Latency seen in ms. of Reliable packets during this time slice
2023-03-04T18-20-55: Latency packet samples = number of packets used in determining average latency from start of game
2023-03-04T18-20-55: Jitter packet samples = number of packets used in determining average jitter from start of game
2023-03-04T18-20-55: reconnect = flag to indicate one or more reconnects occurred
2023-03-04T18-20-55: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)], [Latency in Window], [Packet Loss percentage in Window], [Jitter in Window], [Overall Latency Min], [Overall Latency Max], [Latency Min in Window], [Latency Maxin Window], [Latency packet Samples], [Jitter Packet Samples],[reconnect]
870374,X.X.X.X,7925460,1646960,19358,104293,0,20776,127,0,0,0,0,0,127,0.000000,4,127,127,127,127,20769,20769,0
880376,X.X.X.X,8026705,1665920,18960,101245,0,21023,133,0,0,0,0,0,133,0.000000,11,133,133,133,133,21016,21016,0
890380,X.X.X.X,8108877,1682166,16246,82172,0,21210,128,0,0,0,0,0,128,0.000000,5,128,128,128,128,21205,21205,0
900383,X.X.X.X,8184213,1699186,17020,75336,0,21434,129,0,0,0,0,0,129,0.000000,3,129,129,129,129,21428,21428,0
910389,X.X.X.X,8268382,1718275,19089,84169,0,21686,129,0,0,0,0,0,129,0.000000,4,129,129,129,129,21680,21680,0
920393,X.X.X.X,8372535,1738762,20487,104153,0,21946,128,0,0,0,0,0,128,0.000000,5,128,128,128,128,21939,21939,0
930393,X.X.X.X,8481879,1759587,20825,109344,0,22218,131,0,0,0,0,0,131,0.000000,9,131,131,131,131,22210,22210,0
940394,X.X.X.X,8590026,1781204,21617,108147,0,22506,131,0,0,0,0,0,131,0.000000,6,131,131,131,131,22498,22498,0
950400,X.X.X.X,8702821,1800423,19219,112795,0,22757,130,0,0,0,0,0,130,0.000000,3,130,130,130,130,22749,22749,0
960400,X.X.X.X,8809691,1818895,18472,106870,0,22991,129,0,0,0,0,0,129,0.000000,6,129,129,129,129,22983,22983,0
970404,X.X.X.X,8887777,1835704,16809,78086,0,23218,130,0,0,0,0,0,130,0.000000,6,130,130,130,130,23210,23210,0
980407,X.X.X.X,9002543,1856796,21092,114766,0,23484,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,23477,23477,0
990413,X.X.X.X,9132967,1879667,22871,130424,0,23782,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,23776,23776,0
1000415,X.X.X.X,9271723,1902272,22605,138756,0,24064,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,24056,24056,0
1010420,X.X.X.X,9388078,1922551,20279,116355,0,24318,127,0,0,0,0,0,127,0.000000,4,127,127,127,127,24310,24310,0
1020423,X.X.X.X,9458505,1939237,16686,70427,0,24526,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,24519,24519,0
1030427,X.X.X.X,9547192,1958381,19144,88687,0,24778,127,0,0,0,0,0,127,0.000000,4,127,127,127,127,24771,24771,0
1040433,X.X.X.X,9627647,1977944,19563,80455,0,25025,127,0,0,0,0,0,127,0.000000,4,127,127,127,127,25018,25018,0
1050436,X.X.X.X,9708471,1996857,18913,80824,0,25280,128,0,0,0,0,0,128,0.000000,4,128,128,128,128,25272,25272,0
1060440,X.X.X.X,9789932,2015992,19135,81461,0,25524,155,0,0,0,0,0,155,0.000000,21,155,155,155,155,25517,25517,0
1070442,X.X.X.X,9892972,2036769,20777,103040,0,25802,128,0,0,0,0,0,128,0.000000,4,128,128,128,128,25796,25796,0
1080444,X.X.X.X,9990051,2057675,20906,97079,0,26081,129,0,0,0,0,0,129,0.000000,4,129,129,129,129,26075,26075,0
1090444,X.X.X.X,10088946,2077155,19480,98895,0,26326,129,0,0,0,0,0,129,0.000000,5,129,129,129,129,26319,26319,0
1100448,X.X.X.X,10220398,2099733,22578,131452,0,26611,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,26603,26603,0
1110451,X.X.X.X,10349814,2121689,21956,129416,0,26877,126,0,0,0,0,0,126,0.000000,2,126,126,126,126,26868,26868,0
1120451,X.X.X.X,10457201,2144148,22459,107387,0,27176,129,0,0,0,0,0,129,0.000000,4,129,129,129,129,27169,27169,0
1130452,X.X.X.X,10554185,2164183,20035,96984,0,27435,126,0,0,0,0,0,126,0.000000,3,126,126,126,126,27429,27429,0
1140452,X.X.X.X,10626037,2181930,17747,71852,0,27681,127,0,0,0,0,0,127,0.000000,5,127,127,127,127,27675,27675,0
1150457,X.X.X.X,10722365,2200628,18698,96328,0,27925,130,0,0,0,0,0,130,0.000000,4,130,130,130,130,27917,27917,0
1160464,X.X.X.X,10903628,2223972,23344,181263,0,28191,130,0,0,0,0,0,130,0.000000,3,130,130,130,130,28183,28183,0
1170470,X.X.X.X,11015155,2244660,20688,111527,0,28454,130,0,0,0,0,0,130,0.000000,5,130,130,130,130,28445,28445,0
1180477,X.X.X.X,11096387,2264417,19757,81232,0,28707,130,0,0,0,0,0,130,0.000000,4,130,130,130,130,28699,28699,0
1190477,X.X.X.X,11193617,2284780,20363,97230,0,28968,132,0,0,0,0,0,132,0.000000,5,132,132,132,132,28962,28962,0
1200483,X.X.X.X,11286548,2305129,20349,92931,0,29221,131,0,0,0,0,0,131,0.000000,4,131,131,131,131,29215,29215,0
1210488,X.X.X.X,11378150,2324938,19809,91602,0,29478,131,0,0,0,0,0,131,0.000000,5,131,131,131,131,29471,29471,0
1220488,X.X.X.X,11481451,2343444,18506,103301,0,29697,137,0,0,0,0,0,137,0.000000,6,137,137,137,137,29690,29690,0
1230489,X.X.X.X,11583858,2364196,20752,102407,0,29974,132,0,0,0,0,0,132,0.000000,5,132,132,132,132,29966,29966,0
1240494,X.X.X.X,11729555,2388053,23857,145697,0,30270,128,0,0,0,0,0,128,0.000000,5,128,128,128,128,30264,30264,0
1250500,X.X.X.X,11854582,2409812,21759,125027,0,30542,128,0,0,0,0,0,128,0.000000,4,128,128,128,128,30535,30535,0
1260505,X.X.X.X,11985735,2432950,23138,131153,0,30839,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,30832,30832,0
1270505,X.X.X.X,12090415,2452298,19348,104680,0,31079,135,0,0,0,0,0,135,0.000000,4,135,135,135,135,31073,31073,0
1280512,X.X.X.X,12222335,2472194,19896,131920,0,31308,126,0,0,0,0,0,126,0.000000,2,126,126,126,126,31302,31302,0
1290513,X.X.X.X,12333797,2491394,19200,111462,0,31559,127,0,0,0,0,0,127,0.000000,4,127,127,127,127,31552,31552,0
1300520,X.X.X.X,12424305,2510380,18986,90508,0,31814,128,0,0,0,0,0,128,0.000000,4,128,128,128,128,31808,31808,0
