game.frametime_average,game.frametime_variance,game.time,network.acks_received,network.acks_sent,network.adapter,network.bytes_received,network.bytes_sent,network.connects,network.connects_received,network.connects_rejected,network.connects_sent,network.disconnects,network.messages_limited,network.messages_received,network.messages_redundant,network.messages_resent,network.messages_sent,network.never_connected,network.packets_acked,network.packets_limited,network.packets_lost,network.packets_outofseq,network.packets_received,network.packets_sent,network.peer_address,network.peer_port,network.processing_time,network.reconnects,network.reconnects_rejected,network.rtt_average,network.rtt_jitter,network.status,player.id,stats.duration,stats.version,
0.007181,0.000000,600.028503,244,311,Ethernet,85502,18050,0,0,0,0,0,0,2345,0,0,323,0,244,0,0,0,555,555,162.249.78.111,5277,0.015220,0,0,0.120830,0.004926,Connected,150742302,10.002478,7,
0.007142,0.000000,610.035400,242,342,Ethernet,99031,19412,0,0,0,0,0,0,2859,0,0,328,0,242,0,0,0,584,584,162.249.78.111,5277,0.015719,0,0,0.120943,0.005258,Connected,150742302,10.006299,7,
0.007196,0.000000,620.038574,258,326,Ethernet,101421,19862,0,0,0,0,0,0,2898,0,0,358,0,258,0,0,0,584,584,162.249.78.111,5277,0.015814,0,0,0.122995,0.006361,Connected,150742302,10.002973,7,
0.007527,0.000003,630.042542,255,320,Ethernet,89975,19575,0,0,0,0,0,0,2547,0,0,340,0,255,0,0,0,575,574,162.249.78.111,5277,0.016390,0,0,0.121232,0.004920,Connected,150742302,10.003597,7,
0.007281,0.000001,640.047363,279,358,Ethernet,111887,21481,0,0,0,0,0,0,2904,0,0,369,0,279,0,0,0,637,638,162.249.78.111,5277,0.017088,0,0,0.125714,0.004857,Connected,150742302,10.004573,7,
0.007491,0.000001,650.047668,285,344,Ethernet,107621,20972,0,0,0,0,0,0,2872,0,0,372,0,286,0,0,0,629,630,162.249.78.111,5277,0.016986,0,0,0.122231,0.004804,Connected,150742302,10.000232,7,
0.007320,0.000001,660.054565,288,351,Ethernet,117345,22106,0,0,0,0,0,0,2822,0,0,407,0,288,0,0,0,639,640,162.249.78.111,5277,0.017557,0,0,0.122895,0.004704,Connected,150742302,10.006577,7,
0.007464,0.000001,670.057068,283,369,Ethernet,114653,21802,0,0,0,0,0,0,2890,0,0,374,0,283,0,0,0,652,651,162.249.78.111,5277,0.017530,0,0,0.127029,0.005095,Connected,150742302,10.001965,7,
0.007449,0.000001,680.061035,284,325,Ethernet,90667,20889,0,0,0,0,0,0,2421,0,0,378,0,284,0,0,0,609,611,162.249.78.111,5277,0.016586,0,0,0.123667,0.004245,Connected,150742302,10.003739,7,
0.007261,0.000001,690.067505,266,345,Ethernet,103886,21000,0,0,0,0,0,0,2404,0,0,362,0,266,0,0,0,611,610,162.249.78.111,5277,0.016127,0,0,0.126370,0.006035,Connected,150742302,10.006335,7,
